,X,Y,FireDiscoveryDateTime,InitialLatitude,InitialLongitude,POOCounty,IncidentSize,FireCause
132949,-121.620013701,42.172605349,2015/09/12 21:53:59+00,42.1773,-121.6296,Klamath,0.5,Undetermined
132976,-118.47221352,44.1578057880001,2022/07/13 23:36:29+00,44.17197,-118.5266,Grant,0.1,Natural
132996,-117.214901716,44.83006067000011,2020/08/10 18:27:00+00,44.82208,-117.2136,Baker,297.0,Human
133001,-120.237213834,44.2233356240001,2021/07/03 18:36:30+00,44.22333,-120.2372,Crook,0.1,Natural
133026,-122.36271403299999,43.446055368,2019/05/28 15:16:00+00,43.445879999999995,-122.3624,Lane,0.1,Human
133045,-120.383013908,44.489605628999996,2015/08/05 22:21:00+00,44.4897,-120.3832,Wheeler,0.1,Human
133072,-118.60801376,45.29470586000011,2014/08/14 16:47:59+00,,,Union,0.1,Natural
133084,-120.043513922,44.8585656880001,2017/08/11 21:01:59+00,44.88792,-120.0762,Wheeler,163.0,Human
133086,-121.94101424700001,44.929705504,2015/08/12 01:26:01+00,44.9297,-121.9415,Clackamas,0.1,Natural
133103,-118.499913519,44.127565783000094,2019/08/02 01:00:42+00,44.17918,-118.4564,Grant,0.6,Natural
133113,-122.111613816,42.407385321,2018/07/16 01:06:52+00,42.40947,-122.1203,Klamath,0.2,Natural
133135,-117.291814159,43.306806828999996,2015/06/29 02:50:00+00,43.3027,-117.338303,Malheur,8687.9,Natural
133150,-117.569513075,42.501565735999996,2018/07/25 00:24:59+00,42.50156,-117.5695,Malheur,362.8,Natural
133154,-120.726813762,43.378725518000095,2021/06/24 04:21:59+00,43.37729,-120.7243,Lake,0.1,Natural
133167,-118.118813214,42.755907709,2020/08/17 22:47:00+00,42.840509999999995,-118.154,Malheur,3456.0,Natural
133198,-121.662514032,44.0434654740001,2017/08/11 18:27:35+00,44.036159999999995,-121.6785,Deschutes,0.1,Natural
133231,-121.54913105700001,44.2732225010001,2021/07/25 20:34:00+00,44.2734,-121.5488,Deschutes,0.1,Human
133258,-120.484313773,43.664425561,2022/07/04 04:12:00+00,43.67458,-120.4777,Deschutes,0.1,Natural
133261,-117.847213256,43.289395776999996,2017/09/12 23:58:59+00,43.286,-117.8449,Malheur,2.0,Natural
133262,-118.38651351200001,44.1998458,2022/07/03 13:31:30+00,44.21215,-118.3687,Grant,1.5,Natural
133275,-119.194013721,44.56311575000011,2019/08/11 21:55:51+00,44.56971,-119.1937,Grant,0.1,Natural
133292,-117.563313559,45.2227559580001,2019/08/11 03:44:55+00,45.22489,-117.5657,Union,0.1,Natural
133294,-121.61261425100001,45.2154055550001,2022/08/16 20:18:00+00,45.22361,-121.6149,Wasco,0.1,Human
133297,-119.79671376299999,44.2403756680001,2021/06/25 00:25:41+00,44.24205,-119.7867,Crook,3.0,Natural
133305,-119.994713698,43.70296561,2020/08/16 23:16:00+00,43.690870000000004,-119.9853,Crook,17.0,Natural
133323,-122.264114158,44.210285426999995,2018/07/26 20:38:00+00,44.603559999999995,-122.08200000000001,Lane,0.1,Human
133328,-122.674910001,42.990106309000105,2015/07/10 20:53:20+00,42.989201,-122.6744,Douglas,0.1,Natural
133379,-121.84081406,44.037445457,2020/08/28 22:15:55+00,44.03739,-121.8409,Lane,0.1,Natural
133387,-123.37741395,42.057555183000005,2022/08/20 03:02:47+00,42.05772,-123.375,Josephine,0.1,Natural
133396,-120.605812955,42.052320136,2021/07/05 02:09:06+00,42.04045,-120.5822,Lake,1.0,Natural
133401,-117.574713495,44.88045593,2022/08/04 00:45:00+00,44.87999,-117.6143,Baker,194.0,Natural
133406,-122.35821409,43.763485388999996,2021/07/27 19:11:41+00,43.76529,-122.3588,Lane,1485.0,Natural
133412,-120.58821670799999,43.2025045180001,2015/08/03 20:28:00+00,43.201199,-120.591103,Lake,0.36,Human
133428,-120.234713705,43.515865573999996,2019/09/06 21:59:00+00,43.51774,-120.2307,Lake,0.1,Natural
133430,-122.32901388200001,42.6064053150001,2015/08/06 02:05:00+00,42.6085,-122.3027,Jackson,1.0,Natural
133447,-121.23231395399999,43.993215513000095,2019/07/22 22:02:00+00,43.98641,-121.2531,Deschutes,0.1,Natural
133455,-121.376213917,43.6621954760001,2020/05/29 14:05:12+00,43.65396,-121.3905,Deschutes,0.1,Natural
133477,-121.289114039,44.3950555340001,2022/10/12 23:38:00+00,44.40137,-121.2949,Jefferson,0.1,Human
133497,-122.166146949,43.144422367000104,2016/06/23 00:53:00+00,43.144417,-122.166133,Douglas,0.1,Human
133511,-118.551013736,45.223995861000006,2019/11/01 00:13:00+00,45.22318,-118.5532,Union,1.0,Human
133519,-118.53481352200001,44.107315778,2020/08/24 16:51:34+00,44.117,-118.6514,Grant,1.3,Natural
133541,-118.91341378899999,45.16531582100001,2022/05/16 03:54:00+00,45.159290000000006,-118.9101,Umatilla,0.1,Natural
133554,-122.43381401200001,43.2631953490001,2018/02/10 20:00:00+00,43.26323,-122.43,Douglas,0.1,Human
133555,-120.842413869,43.871475542,2018/08/12 20:31:00+00,43.87331,-120.8498,Deschutes,0.1,Human
133565,-118.03701356799999,44.827785881000096,2018/06/08 04:01:27+00,44.82796,-118.0421,Baker,0.1,Natural
133580,-121.278813955,43.955385506000006,2020/06/19 18:49:59+00,43.95538,-121.2788,Deschutes,0.1,Human
133581,-122.925413998,42.7530752700001,2018/07/15 18:04:00+00,42.90318,-122.7048,Jackson,3816.0,Natural
133587,-121.80401431,45.35070554399999,2015/07/15 18:14:43+00,45.3507,-121.8036,Clackamas,0.1,Human
133588,-122.43721408399999,43.66167537500011,2020/08/30 02:53:36+00,43.66167,-122.4372,Lane,0.1,Human
133593,-122.199013886,42.7448053370001,2015/08/01 17:06:00+00,42.7729,-122.2127,Klamath,0.1,Natural
133601,-121.04011371600001,42.819005448,2020/08/08 20:02:33+00,42.84073,-121.0451,Lake,0.74,Natural
133615,-118.703813844,45.625735875,2020/08/25 13:08:00+00,45.627694,-118.70388899999999,Umatilla,0.1,Human
133624,-118.376113674,45.064685866000005,2020/07/28 23:35:59+00,45.05296,-118.3671,Union,0.1,Natural
133629,-121.57973423700001,45.168895555000105,2017/09/03 21:29:00+00,45.13774,-121.5735,Wasco,237.0,Human
133658,-124.003614165,42.797805173,2020/08/30 00:49:59+00,42.78855,-124.028333,Coos,0.1,Unknown
