,X,Y,FireDiscoveryDateTime,InitialLatitude,InitialLongitude,POOCounty,IncidentSize,FireCause,Temperature,Precipitation
65,-118.655213843,45.665215882,2020/09/24 18:39:00+00,45.66521,-118.6552,Umatilla,0.1,Human,63.3,0.019666666666666662
66,-121.246125224,44.814727788,2020/07/20 23:38:00+00,,,Jefferson,,,66.4,0.001
67,-121.759014373,45.6906055690001,2014/08/19 20:44:00+00,,,Hood River,,Human,65.0,0.03166666666666666
68,-120.79001393899999,44.297805576,2015/08/13 01:27:00+00,,,Crook,,,66.1,0.0013333333333333333
69,-123.03056974299999,43.7325053230001,2018/07/05 18:30:00+00,,,Lane,,,67.1,0.0003333333333333333
70,-121.53001421799999,45.115838890000106,2021/10/13 19:34:00+00,,,Wasco,,,47.7,0.05166666666666666
71,-122.884902831,42.39351085,2022/08/18 02:03:00+00,,,Jackson,,,72.2,0.01
72,-121.84834752799999,44.739727723,2021/07/05 07:08:00+00,,,Marion,,,68.2,0.0003333333333333333
73,-121.423014151,44.8661055520001,2015/08/12 20:19:59+00,,,Wasco,,,68.9,0.008666666666666666
74,-122.402214396,45.311305481000005,2022/07/29 14:00:00+00,,,Clackamas,,,66.9,0.013666666666666666
75,-121.38057009100001,44.593616538,2019/08/10 00:01:00+00,,,Jefferson,,,67.1,0.027000000000000003
76,-123.00779221299999,44.930560997,2020/07/01 15:58:00+00,,,Marion,,,65.1,0.0023333333333333327
77,-121.314736308,44.630283327,2022/12/01 18:17:00+00,,,Jefferson,,,29.6,0.13033333333333333
78,-123.403070271,45.886549810000105,2022/11/17 16:44:59+00,,,Clatsop,,,41.1,0.4796666666666667
79,-121.263413988,44.14767552000011,2022/02/25 03:58:00+00,44.14614,-121.2641,Deschutes,0.1,Undetermined,33.8,0.02633333333333333
80,-121.745713728,42.217005341000096,2021/05/14 21:43:26+00,42.21699,-121.7454,Klamath,1.0,Undetermined,49.7,0.014333333333333332
81,-121.261404104,44.7561155610001,2018/07/15 02:16:00+00,,,Jefferson,,,69.1,0.0
82,-122.88491953100001,42.39347465,2022/09/17 00:39:00+00,,,Jackson,,,65.1,0.03066666666666667
83,-123.53001432200001,44.056705294,2015/07/22 12:45:00+00,,,Lane,,,67.4,0.008333333333333333
84,-121.796014194,44.7783055090001,2014/07/13 16:12:59+00,,,Jefferson,1.0,Natural,70.0,0.013333333333333334
85,-123.642658404,42.152016265,2020/10/02 00:00:00+00,,,Josephine,,,57.1,0.037000000000000005
86,-123.546680849,43.2733385780001,2016/12/10 06:59:59+00,,,Douglas,,,35.1,0.3143333333333333
87,-123.06251396399999,42.429838536,2022/09/07 20:28:00+00,,,Jackson,,,65.1,0.03066666666666667
88,-121.27723410600001,44.756675558999994,2018/07/24 04:37:00+00,,,Jefferson,,,69.1,0.0
89,-123.28181395200001,42.159615198000004,2018/11/13 20:32:59+00,42.15961,-123.2818,Josephine,0.1,Unknown,45.5,0.15133333333333335
90,-123.214708962,45.5056998090001,2022/09/10 02:03:00+00,,,Washington,,,64.4,0.016666666666666666
91,-123.104014211,43.80330532,2015/12/02 23:19:59+00,43.8033,-123.1045,Lane,,Undetermined,38.8,0.6986666666666667
92,-123.40401400399999,42.3655152010001,2019/09/07 16:27:00+00,42.36551,-123.404,Josephine,0.1,Natural,59.4,0.11533333333333333
93,-122.886014029,42.9658052880001,2015/05/27 15:00:00+00,,,Douglas,,,55.3,0.055999999999999994
94,-123.651680954,43.7694497090001,2016/09/20 22:41:59+00,,,Douglas,,,60.2,0.013666666666666666
95,-123.290014002,42.454972217,2017/07/14 00:36:59+00,42.454967,-123.29,Josephine,,Undetermined,69.4,0.0003333333333333333
96,-118.333013634,44.898905858,2014/08/03 15:30:00+00,,,Grant,,,63.7,0.034333333333333334
